numerator,denominator,apc,se,n_obs,design,spending_category,spend_category_unemp,spend_category_emp
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Organizations_&_Institutions,44.33659895865739,44.16005316861488
Spend (cardcash),income,0.002,0,309077,FPUC expiration,Organizations_&_Institutions,44.33659895865739,44.16005316861488
Spend (cardcash),ui,0.001,0,309077,FPUC expiration,Organizations_&_Institutions,44.33659895865739,44.16005316861488
Spend (total),income,0.305,0.017,249652,$300 onset,Organizations_&_Institutions,45.34289180648077,39.66742078687145
Spend (total),ui,0.457,0.026,249652,$300 onset,Organizations_&_Institutions,45.34289180648077,39.66742078687145
Spend (cardcash),income,0.003,0.001,249652,$300 onset,Organizations_&_Institutions,45.34289180648077,39.66742078687145
Spend (cardcash),ui,0.005,0.001,249652,$300 onset,Organizations_&_Institutions,45.34289180648077,39.66742078687145
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Organizations_&_Institutions,47.81780394962124,41.98346515184618
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Organizations_&_Institutions,47.81780394962124,41.98346515184618
Spend (cardcash),income,0.003,0.001,129293,$300 expiration Sept states,Organizations_&_Institutions,47.81780394962124,41.98346515184618
Spend (cardcash),ui,0.004,0.001,129293,$300 expiration Sept states,Organizations_&_Institutions,47.81780394962124,41.98346515184618
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Organizations_&_Institutions,50.424109703777845,44.76195874243777
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Organizations_&_Institutions,50.424109703777845,44.76195874243777
Spend (cardcash),income,0.002,0.001,121994,$300 expiration June states,Organizations_&_Institutions,50.424109703777845,44.76195874243777
Spend (cardcash),ui,0.001,0.001,121994,$300 expiration June states,Organizations_&_Institutions,50.424109703777845,44.76195874243777
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Organizations_&_Institutions,51.75811446368645,44.76195874243777
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Organizations_&_Institutions,51.75811446368645,44.76195874243777
Spend (cardcash),income,0.001,0.002,47623,$300 expiration June vs. Sept states,Organizations_&_Institutions,51.75811446368645,44.76195874243777
Spend (cardcash),ui,0,0.001,47623,$300 expiration June vs. Sept states,Organizations_&_Institutions,51.75811446368645,44.76195874243777
Spend (total),income,0.43,0.016,52094,UI onset (waiting),schools,2.781660563888156,5.758515400893487
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),schools,2.781660563888156,5.758515400893487
Spend (cardcash),income,0,0.001,52094,UI onset (waiting),schools,2.781660563888156,5.758515400893487
Spend (cardcash),ui,0,0.001,52094,UI onset (waiting),schools,2.781660563888156,5.758515400893487
Spend (total),income,0.319,0.009,309077,FPUC expiration,schools,14.514021618573683,11.655580293730532
Spend (total),ui,0.225,0.006,309077,FPUC expiration,schools,14.514021618573683,11.655580293730532
Spend (cardcash),income,0.001,0.001,309077,FPUC expiration,schools,14.514021618573683,11.655580293730532
Spend (cardcash),ui,0,0,309077,FPUC expiration,schools,14.514021618573683,11.655580293730532
Spend (total),income,0.305,0.017,249652,$300 onset,schools,13.554323052586193,12.603132021880917
Spend (total),ui,0.457,0.026,249652,$300 onset,schools,13.554323052586193,12.603132021880917
Spend (cardcash),income,-0.001,0.001,249652,$300 onset,schools,13.554323052586193,12.603132021880917
Spend (cardcash),ui,-0.001,0.002,249652,$300 onset,schools,13.554323052586193,12.603132021880917
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,schools,9.659598061214796,9.848727696453281
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,schools,9.659598061214796,9.848727696453281
Spend (cardcash),income,0.001,0.001,129293,$300 expiration Sept states,schools,9.659598061214796,9.848727696453281
Spend (cardcash),ui,0.001,0.001,129293,$300 expiration Sept states,schools,9.659598061214796,9.848727696453281
Spend (total),income,0.348,0.028,121994,$300 expiration June states,schools,12.505531973541093,7.210357532480412
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,schools,12.505531973541093,7.210357532480412
Spend (cardcash),income,0.003,0.001,121994,$300 expiration June states,schools,12.505531973541093,7.210357532480412
Spend (cardcash),ui,0.003,0.001,121994,$300 expiration June states,schools,12.505531973541093,7.210357532480412
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,schools,11.78802175438906,7.210357532480412
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,schools,11.78802175438906,7.210357532480412
Spend (cardcash),income,0.004,0.002,47623,$300 expiration June vs. Sept states,schools,11.78802175438906,7.210357532480412
Spend (cardcash),ui,0.002,0.001,47623,$300 expiration June vs. Sept states,schools,11.78802175438906,7.210357532480412
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Drug_Stores,23.278607283635356,31.224676698800845
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Drug_Stores,23.278607283635356,31.224676698800845
Spend (cardcash),income,0.002,0,52094,UI onset (waiting),Drug_Stores,23.278607283635356,31.224676698800845
Spend (cardcash),ui,0.001,0,52094,UI onset (waiting),Drug_Stores,23.278607283635356,31.224676698800845
Spend (total),income,0.319,0.009,309077,FPUC expiration,Drug_Stores,22.467811791208653,27.947470581336255
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Drug_Stores,22.467811791208653,27.947470581336255
Spend (cardcash),income,0.001,0,309077,FPUC expiration,Drug_Stores,22.467811791208653,27.947470581336255
Spend (cardcash),ui,0.001,0,309077,FPUC expiration,Drug_Stores,22.467811791208653,27.947470581336255
Spend (total),income,0.305,0.017,249652,$300 onset,Drug_Stores,22.66349799754361,29.157965916263414
Spend (total),ui,0.457,0.026,249652,$300 onset,Drug_Stores,22.66349799754361,29.157965916263414
Spend (cardcash),income,0.002,0,249652,$300 onset,Drug_Stores,22.66349799754361,29.157965916263414
Spend (cardcash),ui,0.003,0,249652,$300 onset,Drug_Stores,22.66349799754361,29.157965916263414
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Drug_Stores,25.124724064215773,29.05366251547593
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Drug_Stores,25.124724064215773,29.05366251547593
Spend (cardcash),income,0.001,0,129293,$300 expiration Sept states,Drug_Stores,25.124724064215773,29.05366251547593
Spend (cardcash),ui,0.001,0,129293,$300 expiration Sept states,Drug_Stores,25.124724064215773,29.05366251547593
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Drug_Stores,25.386214874624063,26.463373004066252
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Drug_Stores,25.386214874624063,26.463373004066252
Spend (cardcash),income,0.001,0,121994,$300 expiration June states,Drug_Stores,25.386214874624063,26.463373004066252
Spend (cardcash),ui,0.001,0,121994,$300 expiration June states,Drug_Stores,25.386214874624063,26.463373004066252
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Drug_Stores,31.221530976175615,26.463373004066252
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Drug_Stores,31.221530976175615,26.463373004066252
Spend (cardcash),income,0.001,0.001,47623,$300 expiration June vs. Sept states,Drug_Stores,31.221530976175615,26.463373004066252
Spend (cardcash),ui,0.001,0,47623,$300 expiration June vs. Sept states,Drug_Stores,31.221530976175615,26.463373004066252
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Groceries,298.7299121984905,295.82516858687984
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Groceries,298.7299121984905,295.82516858687984
Spend (cardcash),income,0.04,0.002,52094,UI onset (waiting),Groceries,298.7299121984905,295.82516858687984
Spend (cardcash),ui,0.029,0.001,52094,UI onset (waiting),Groceries,298.7299121984905,295.82516858687984
Spend (total),income,0.319,0.009,309077,FPUC expiration,Groceries,326.9788536115718,282.0734756375673
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Groceries,326.9788536115718,282.0734756375673
Spend (cardcash),income,0.02,0.001,309077,FPUC expiration,Groceries,326.9788536115718,282.0734756375673
Spend (cardcash),ui,0.014,0,309077,FPUC expiration,Groceries,326.9788536115718,282.0734756375673
Spend (total),income,0.305,0.017,249652,$300 onset,Groceries,328.43275830508173,249.21949526614767
Spend (total),ui,0.457,0.026,249652,$300 onset,Groceries,328.43275830508173,249.21949526614767
Spend (cardcash),income,0.023,0.002,249652,$300 onset,Groceries,328.43275830508173,249.21949526614767
Spend (cardcash),ui,0.035,0.002,249652,$300 onset,Groceries,328.43275830508173,249.21949526614767
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Groceries,326.6780401542988,257.6513327507101
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Groceries,326.6780401542988,257.6513327507101
Spend (cardcash),income,0.015,0.001,129293,$300 expiration Sept states,Groceries,326.6780401542988,257.6513327507101
Spend (cardcash),ui,0.02,0.002,129293,$300 expiration Sept states,Groceries,326.6780401542988,257.6513327507101
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Groceries,324.45185161234014,334.9115531091937
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Groceries,324.45185161234014,334.9115531091937
Spend (cardcash),income,0.013,0.002,121994,$300 expiration June states,Groceries,324.45185161234014,334.9115531091937
Spend (cardcash),ui,0.012,0.002,121994,$300 expiration June states,Groceries,324.45185161234014,334.9115531091937
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Groceries,307.4033385790228,334.9115531091937
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Groceries,307.4033385790228,334.9115531091937
Spend (cardcash),income,0.009,0.003,47623,$300 expiration June vs. Sept states,Groceries,307.4033385790228,334.9115531091937
Spend (cardcash),ui,0.005,0.002,47623,$300 expiration June vs. Sept states,Groceries,307.4033385790228,334.9115531091937
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Department_Stores,7.35095039792592,22.312469386315488
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Department_Stores,7.35095039792592,22.312469386315488
Spend (cardcash),income,0.001,0,52094,UI onset (waiting),Department_Stores,7.35095039792592,22.312469386315488
Spend (cardcash),ui,0.001,0,52094,UI onset (waiting),Department_Stores,7.35095039792592,22.312469386315488
Spend (total),income,0.319,0.009,309077,FPUC expiration,Department_Stores,12.930488128549559,17.08895773225429
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Department_Stores,12.930488128549559,17.08895773225429
Spend (cardcash),income,0.002,0,309077,FPUC expiration,Department_Stores,12.930488128549559,17.08895773225429
Spend (cardcash),ui,0.001,0,309077,FPUC expiration,Department_Stores,12.930488128549559,17.08895773225429
Spend (total),income,0.305,0.017,249652,$300 onset,Department_Stores,15.196795390490601,15.887321165579598
Spend (total),ui,0.457,0.026,249652,$300 onset,Department_Stores,15.196795390490601,15.887321165579598
Spend (cardcash),income,0.002,0.001,249652,$300 onset,Department_Stores,15.196795390490601,15.887321165579598
Spend (cardcash),ui,0.003,0.001,249652,$300 onset,Department_Stores,15.196795390490601,15.887321165579598
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Department_Stores,19.65709364599887,17.681861481319608
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Department_Stores,19.65709364599887,17.681861481319608
Spend (cardcash),income,0.001,0,129293,$300 expiration Sept states,Department_Stores,19.65709364599887,17.681861481319608
Spend (cardcash),ui,0.002,0.001,129293,$300 expiration Sept states,Department_Stores,19.65709364599887,17.681861481319608
