Row,Hazard_600,Hazard_300,Duration_elasticity_600,Duration_elasticity_300
Baseline: Absolute pp,0.189089621830869,0.273683029694001,0.108306912166609,0.223498413977768
Relative % change,0.159137128635169,0.329887373829183,0.0899889030128876,0.27182099452664
Logit,0.16463897745672,0.232128683248833,0.0933200334432684,0.188267809877349
